1900	11900000
1901	11900000
1902	11400000
1903	11000000
1904	11000000
1905	11000000
1906	11000000
1907	10600000
1908	11000000
1909	11000000
1910	10600000
1911	10600000
1912	10300000
1913	10000000
1914	9900000
1915	9890000
1916	9300000
1917	8000000
1918	6870000
1919	6040000
1920	5370000
1921	6030000
1922	6490000
1923	6350000
1924	6340000
1925	6180000
1926	6110000
1927	6240000
1928	6330000
1929	6310000
1930	6470000
1931	7740000
1932	7940000
1933	10700000
1934	13600000
1935	13300000
1936	13200000
1937	12700000
1938	13000000
1939	13000000
1940	12700000
1941	12000000
1942	10900000
1943	10300000
1944	10100000
1945	10100000
1946	9320000
1947	8150000
1948	7560000
1949	6970000
1950	7560000
1951	7010000
1952	6830000
1953	6830000
1954	6830000
1955	6860000
1956	6750000
1957	6510000
1958	6360000
1959	6310000
1960	6240000
1961	6160000
1962	6090000
1963	6010000
1964	5930000
1965	5840000
1966	5680000
1967	5530000
1968	6040000
1969	5940000
1970	4920000
1971	5340000
1972	7340000
1973	11500000
1974	17000000
1975	15700000
1976	11500000
1977	12800000
1978	15600000
1979	22200000
1980	39000000
1981	26500000
1982	20400000
1983	22300000
1984	18200000
1985	15500000
1986	17600000
1987	22000000
1988	19400000
1989	16200000
1990	15400000
1991	14000000
1992	12900000
1993	13100000
1994	13600000
1995	13300000
1996	13000000
1997	10900000
1998	9490000
1999	8810000
2000	8530000
2001	8050000
2002	9060000
2003	10400000
2004	11400000
2005	11900000
2006	15800000
2007	17600000
2008	21300000
2009	23800000
2010	29500000
